"site","state","county","wyear","count2","epi_year","lambda","epi.phase","site.status","mean_early_temp_global","log_early_vpd_global","pre.wns.colony.size","ext_sim_pre_count","mylu.count"
"3zrSqn6","KY","JACKSON",2010,721,-5,1.070637152,"Pre-invasion","Declining",NA,NA,988,988,NA
"3zrSqn6","KY","JACKSON",2012,807,-3,1.057959725,"Pre-invasion","Declining",NA,NA,988,988,NA
"3zrSqn6","KY","JACKSON",2013,989,-2,1.225526642,"Pre-invasion","Declining",NA,NA,988,988,NA
"3zrSqn6","KY","JACKSON",2015,1135,0,1.071272077,"Pre-invasion","Declining",NA,NA,988,988,NA
"3zrSqn6","KY","JACKSON",2016,1250,1,1.101321586,"Invasion","Declining",NA,NA,988,988,NA
"3zrSqn6","KY","JACKSON",2018,1182,3,0.972419662,"Invasion","Declining",NA,NA,988,988,NA
"Adp19Ii","KY","PULASKI",2011,23,-3,1.073922794,"Pre-invasion","Persisting",NA,NA,23,23,NA
"Adp19Ii","KY","PULASKI",2013,24,-1,1.021507837,"Pre-invasion","Persisting",NA,NA,23,23,NA
"Adp19Ii","KY","PULASKI",2014,18,0,0.75,"Pre-invasion","Persisting",NA,NA,23,23,NA
"Adp19Ii","KY","PULASKI",2016,10,2,0.745355992,"Invasion","Persisting",NA,NA,23,23,NA
"Adp19Ii","KY","PULASKI",2018,13,4,1.140175425,"Invasion","Persisting",NA,NA,23,23,NA
"zdP775T","KY","WAYNE",2008,2016,-5,NA,"Pre-invasion","Declining",NA,NA,3406,3406,NA
"zdP775T","KY","WAYNE",2009,2143,-4,1.062996032,"Pre-invasion","Declining",NA,NA,3406,3406,NA
"zdP775T","KY","WAYNE",2011,3407,-2,1.260883557,"Pre-invasion","Declining",NA,NA,3406,3406,NA
"zdP775T","KY","WAYNE",2013,3538,0,1.019043792,"Pre-invasion","Declining",NA,NA,3406,3406,NA
"zdP775T","KY","WAYNE",2015,2879,2,0.902073486,"Invasion","Declining",NA,NA,3406,3406,NA
